name,expr,desc,role
STD5,"Div(Std($close, 5), $close)",波动率类-5日波动率(Alpha158)：5日收盘价标准差相对当前价的比值，衡量短期价格波动剧烈程度，值高=近期波动大、方向不确定,response_intensity
STD10,"Div(Std($close, 10), $close)",波动率类-10日波动率(Alpha158)：10日收盘价标准差相对当前价的比值，衡量短期价格波动剧烈程度，值高=近期波动大、方向不确定,response_intensity
STD20,"Div(Std($close, 20), $close)",波动率类-20日波动率(Alpha158)：20日收盘价标准差相对当前价的比值，衡量短期价格波动剧烈程度，值高=近期波动大、方向不确定,response_intensity
STD30,"Div(Std($close, 30), $close)",波动率类-30日波动率(Alpha158)：30日收盘价标准差相对当前价的比值，衡量短期价格波动剧烈程度，值高=近期波动大、方向不确定,response_intensity
STD60,"Div(Std($close, 60), $close)",波动率类-60日波动率(Alpha158)：60日收盘价标准差相对当前价的比值，衡量短期价格波动剧烈程度，值高=近期波动大、方向不确定,response_intensity
BETA5,"Div(Slope($close, 5), $close)",趋势类-5日线性斜率(Alpha158)：5日收盘价线性回归斜率相对当前价，值正=近期上升趋势，值负=近期下降趋势，衡量短期趋势方向与强度,response_intensity
BETA10,"Div(Slope($close, 10), $close)",趋势类-10日线性斜率(Alpha158)：10日收盘价线性回归斜率相对当前价，值正=近期上升趋势，值负=近期下降趋势，衡量短期趋势方向与强度,response_intensity
BETA20,"Div(Slope($close, 20), $close)",趋势类-20日线性斜率(Alpha158)：20日收盘价线性回归斜率相对当前价，值正=近期上升趋势，值负=近期下降趋势，衡量短期趋势方向与强度,response_intensity
BETA30,"Div(Slope($close, 30), $close)",趋势类-30日线性斜率(Alpha158)：30日收盘价线性回归斜率相对当前价，值正=近期上升趋势，值负=近期下降趋势，衡量短期趋势方向与强度,response_intensity
BETA60,"Div(Slope($close, 60), $close)",趋势类-60日线性斜率(Alpha158)：60日收盘价线性回归斜率相对当前价，值正=近期上升趋势，值负=近期下降趋势，衡量短期趋势方向与强度,response_intensity
RSQR5,"Rsquare($close, 5)",趋势类-5日趋势线性度(Alpha158)：5日收盘价线性回归的R²，衡量价格走势的线性程度，值高=趋势明确流畅，值低=震荡无序,state_detection
RSQR10,"Rsquare($close, 10)",趋势类-10日趋势线性度(Alpha158)：10日收盘价线性回归的R²，衡量价格走势的线性程度，值高=趋势明确流畅，值低=震荡无序,state_detection
RSQR20,"Rsquare($close, 20)",趋势类-20日趋势线性度(Alpha158)：20日收盘价线性回归的R²，衡量价格走势的线性程度，值高=趋势明确流畅，值低=震荡无序,state_detection
RSQR30,"Rsquare($close, 30)",趋势类-30日趋势线性度(Alpha158)：30日收盘价线性回归的R²，衡量价格走势的线性程度，值高=趋势明确流畅，值低=震荡无序,state_detection
RSQR60,"Rsquare($close, 60)",趋势类-60日趋势线性度(Alpha158)：60日收盘价线性回归的R²，衡量价格走势的线性程度，值高=趋势明确流畅，值低=震荡无序,state_detection
RESI5,"Div(Resi($close, 5), $close)",趋势类-5日残差(Alpha158)：5日线性回归残差相对当前价，衡量当前价格偏离短期趋势线的程度，值正=价格高于趋势线超涨，值负=低于趋势线超跌,state_detection
RESI10,"Div(Resi($close, 10), $close)",趋势类-10日残差(Alpha158)：10日线性回归残差相对当前价，衡量当前价格偏离短期趋势线的程度，值正=价格高于趋势线超涨，值负=低于趋势线超跌,state_detection
RESI20,"Div(Resi($close, 20), $close)",趋势类-20日残差(Alpha158)：20日线性回归残差相对当前价，衡量当前价格偏离短期趋势线的程度，值正=价格高于趋势线超涨，值负=低于趋势线超跌,state_detection
RESI30,"Div(Resi($close, 30), $close)",趋势类-30日残差(Alpha158)：30日线性回归残差相对当前价，衡量当前价格偏离短期趋势线的程度，值正=价格高于趋势线超涨，值负=低于趋势线超跌,state_detection
RESI60,"Div(Resi($close, 60), $close)",趋势类-60日残差(Alpha158)：60日线性回归残差相对当前价，衡量当前价格偏离短期趋势线的程度，值正=价格高于趋势线超涨，值负=低于趋势线超跌,state_detection
MAX5,"Div(Max($high, 5), $close)",价格位置类-5日最高价比(Alpha158)：5日最高价相对当前收盘的比值，衡量当前价格距离近期高点的远近，接近1=当前在近期高位,state_detection
MAX10,"Div(Max($high, 10), $close)",价格位置类-10日最高价比(Alpha158)：10日最高价相对当前收盘的比值，衡量当前价格距离近期高点的远近，接近1=当前在近期高位,state_detection
MAX20,"Div(Max($high, 20), $close)",价格位置类-20日最高价比(Alpha158)：20日最高价相对当前收盘的比值，衡量当前价格距离近期高点的远近，接近1=当前在近期高位,state_detection
MAX30,"Div(Max($high, 30), $close)",价格位置类-30日最高价比(Alpha158)：30日最高价相对当前收盘的比值，衡量当前价格距离近期高点的远近，接近1=当前在近期高位,state_detection
MAX60,"Div(Max($high, 60), $close)",价格位置类-60日最高价比(Alpha158)：60日最高价相对当前收盘的比值，衡量当前价格距离近期高点的远近，接近1=当前在近期高位,state_detection
MIN5,"Div(Min($low, 5), $close)",价格位置类-5日最低价比(Alpha158)：5日最低价相对当前收盘的比值，衡量当前价格距离近期低点的远近，接近1=当前在近期低位,state_detection
MIN10,"Div(Min($low, 10), $close)",价格位置类-10日最低价比(Alpha158)：10日最低价相对当前收盘的比值，衡量当前价格距离近期低点的远近，接近1=当前在近期低位,state_detection
MIN20,"Div(Min($low, 20), $close)",价格位置类-20日最低价比(Alpha158)：20日最低价相对当前收盘的比值，衡量当前价格距离近期低点的远近，接近1=当前在近期低位,state_detection
MIN30,"Div(Min($low, 30), $close)",价格位置类-30日最低价比(Alpha158)：30日最低价相对当前收盘的比值，衡量当前价格距离近期低点的远近，接近1=当前在近期低位,state_detection
MIN60,"Div(Min($low, 60), $close)",价格位置类-60日最低价比(Alpha158)：60日最低价相对当前收盘的比值，衡量当前价格距离近期低点的远近，接近1=当前在近期低位,state_detection
QTLU5,"Div(Quantile($close, 5, 0.8), $close)",价格位置类-5日上分位数(Alpha158)：5日收盘价80%分位数相对当前价，衡量当前价格在近期分布中的高低，<1=当前价高于80%分位,state_detection
QTLU10,"Div(Quantile($close, 10, 0.8), $close)",价格位置类-10日上分位数(Alpha158)：10日收盘价80%分位数相对当前价，衡量当前价格在近期分布中的高低，<1=当前价高于80%分位,state_detection
QTLU20,"Div(Quantile($close, 20, 0.8), $close)",价格位置类-20日上分位数(Alpha158)：20日收盘价80%分位数相对当前价，衡量当前价格在近期分布中的高低，<1=当前价高于80%分位,state_detection
QTLU30,"Div(Quantile($close, 30, 0.8), $close)",价格位置类-30日上分位数(Alpha158)：30日收盘价80%分位数相对当前价，衡量当前价格在近期分布中的高低，<1=当前价高于80%分位,state_detection
QTLU60,"Div(Quantile($close, 60, 0.8), $close)",价格位置类-60日上分位数(Alpha158)：60日收盘价80%分位数相对当前价，衡量当前价格在近期分布中的高低，<1=当前价高于80%分位,state_detection
QTLD5,"Div(Quantile($close, 5, 0.2), $close)",价格位置类-5日下分位数(Alpha158)：5日收盘价20%分位数相对当前价，衡量当前价格在近期分布中的高低，>1=当前价低于20%分位,state_detection
QTLD10,"Div(Quantile($close, 10, 0.2), $close)",价格位置类-10日下分位数(Alpha158)：10日收盘价20%分位数相对当前价，衡量当前价格在近期分布中的高低，>1=当前价低于20%分位,state_detection
QTLD20,"Div(Quantile($close, 20, 0.2), $close)",价格位置类-20日下分位数(Alpha158)：20日收盘价20%分位数相对当前价，衡量当前价格在近期分布中的高低，>1=当前价低于20%分位,state_detection
QTLD30,"Div(Quantile($close, 30, 0.2), $close)",价格位置类-30日下分位数(Alpha158)：30日收盘价20%分位数相对当前价，衡量当前价格在近期分布中的高低，>1=当前价低于20%分位,state_detection
QTLD60,"Div(Quantile($close, 60, 0.2), $close)",价格位置类-60日下分位数(Alpha158)：60日收盘价20%分位数相对当前价，衡量当前价格在近期分布中的高低，>1=当前价低于20%分位,state_detection
RANK5,"Rank($close, 5)",价格位置类-5日排名百分位(Alpha158)：当前收盘在5日内的排名百分位0-1，值高=当前处于近期高位，值低=当前处于近期低位,state_detection
RANK10,"Rank($close, 10)",价格位置类-10日排名百分位(Alpha158)：当前收盘在10日内的排名百分位0-1，值高=当前处于近期高位，值低=当前处于近期低位,state_detection
RANK20,"Rank($close, 20)",价格位置类-20日排名百分位(Alpha158)：当前收盘在20日内的排名百分位0-1，值高=当前处于近期高位，值低=当前处于近期低位,state_detection
RANK30,"Rank($close, 30)",价格位置类-30日排名百分位(Alpha158)：当前收盘在30日内的排名百分位0-1，值高=当前处于近期高位，值低=当前处于近期低位,state_detection
RANK60,"Rank($close, 60)",价格位置类-60日排名百分位(Alpha158)：当前收盘在60日内的排名百分位0-1，值高=当前处于近期高位，值低=当前处于近期低位,state_detection
RSV5,"Div(Sub($close, Min($low, 5)), Add(Sub(Max($high, 5), Min($low, 5)), 1e-12))",价格位置类-5日位置归一化(Alpha158)：当前收盘在5日最高最低区间中的归一化位置0-1，接近1=接近近期高点，接近0=接近近期低点，即Williams %R的反向,state_detection
RSV10,"Div(Sub($close, Min($low, 10)), Add(Sub(Max($high, 10), Min($low, 10)), 1e-12))",价格位置类-10日位置归一化(Alpha158)：当前收盘在10日最高最低区间中的归一化位置0-1，接近1=接近近期高点，接近0=接近近期低点，即Williams %R的反向,state_detection
RSV20,"Div(Sub($close, Min($low, 20)), Add(Sub(Max($high, 20), Min($low, 20)), 1e-12))",价格位置类-20日位置归一化(Alpha158)：当前收盘在20日最高最低区间中的归一化位置0-1，接近1=接近近期高点，接近0=接近近期低点，即Williams %R的反向,state_detection
RSV30,"Div(Sub($close, Min($low, 30)), Add(Sub(Max($high, 30), Min($low, 30)), 1e-12))",价格位置类-30日位置归一化(Alpha158)：当前收盘在30日最高最低区间中的归一化位置0-1，接近1=接近近期高点，接近0=接近近期低点，即Williams %R的反向,state_detection
RSV60,"Div(Sub($close, Min($low, 60)), Add(Sub(Max($high, 60), Min($low, 60)), 1e-12))",价格位置类-60日位置归一化(Alpha158)：当前收盘在60日最高最低区间中的归一化位置0-1，接近1=接近近期高点，接近0=接近近期低点，即Williams %R的反向,state_detection
IMAX5,"Div(IdxMax($high, 5), 5.0)",趋势类-距5日高点天数(Alpha158)：归一化的距近期最高点天数，接近1=最高点就在最近趋势强，接近0.2=最高点很久以前趋势弱，Aroon-Up分量,state_detection
IMAX10,"Div(IdxMax($high, 10), 10.0)",趋势类-距10日高点天数(Alpha158)：归一化的距近期最高点天数，接近1=最高点就在最近趋势强，接近0.1=最高点很久以前趋势弱，Aroon-Up分量,state_detection
IMAX20,"Div(IdxMax($high, 20), 20.0)",趋势类-距20日高点天数(Alpha158)：归一化的距近期最高点天数，接近1=最高点就在最近趋势强，接近0.05=最高点很久以前趋势弱，Aroon-Up分量,state_detection
IMAX30,"Div(IdxMax($high, 30), 30.0)",趋势类-距30日高点天数(Alpha158)：归一化的距近期最高点天数，接近1=最高点就在最近趋势强，接近0.033=最高点很久以前趋势弱，Aroon-Up分量,state_detection
IMAX60,"Div(IdxMax($high, 60), 60.0)",趋势类-距60日高点天数(Alpha158)：归一化的距近期最高点天数，接近1=最高点就在最近趋势强，接近0.017=最高点很久以前趋势弱，Aroon-Up分量,state_detection
IMIN5,"Div(IdxMin($low, 5), 5.0)",趋势类-距5日低点天数(Alpha158)：归一化的距近期最低点天数，接近1=最低点就在最近趋势弱，接近0.2=最低点很久以前趋势改善，Aroon-Down分量,state_detection
IMIN10,"Div(IdxMin($low, 10), 10.0)",趋势类-距10日低点天数(Alpha158)：归一化的距近期最低点天数，接近1=最低点就在最近趋势弱，接近0.1=最低点很久以前趋势改善，Aroon-Down分量,state_detection
IMIN20,"Div(IdxMin($low, 20), 20.0)",趋势类-距20日低点天数(Alpha158)：归一化的距近期最低点天数，接近1=最低点就在最近趋势弱，接近0.05=最低点很久以前趋势改善，Aroon-Down分量,state_detection
IMIN30,"Div(IdxMin($low, 30), 30.0)",趋势类-距30日低点天数(Alpha158)：归一化的距近期最低点天数，接近1=最低点就在最近趋势弱，接近0.033=最低点很久以前趋势改善，Aroon-Down分量,state_detection
IMIN60,"Div(IdxMin($low, 60), 60.0)",趋势类-距60日低点天数(Alpha158)：归一化的距近期最低点天数，接近1=最低点就在最近趋势弱，接近0.017=最低点很久以前趋势改善，Aroon-Down分量,state_detection
CORR5,"Corr($close, Log(Add($volume, 1.0)), 5)",量价协同类-5日量价相关性(Alpha158)：收盘价与对数成交量的5日相关性，值正=量价同向放量上涨或缩量下跌，值负=量价背离,state_detection
CORR10,"Corr($close, Log(Add($volume, 1.0)), 10)",量价协同类-10日量价相关性(Alpha158)：收盘价与对数成交量的10日相关性，值正=量价同向放量上涨或缩量下跌，值负=量价背离,state_detection
CORR20,"Corr($close, Log(Add($volume, 1.0)), 20)",量价协同类-20日量价相关性(Alpha158)：收盘价与对数成交量的20日相关性，值正=量价同向放量上涨或缩量下跌，值负=量价背离,state_detection
CORR30,"Corr($close, Log(Add($volume, 1.0)), 30)",量价协同类-30日量价相关性(Alpha158)：收盘价与对数成交量的30日相关性，值正=量价同向放量上涨或缩量下跌，值负=量价背离,state_detection
CORR60,"Corr($close, Log(Add($volume, 1.0)), 60)",量价协同类-60日量价相关性(Alpha158)：收盘价与对数成交量的60日相关性，值正=量价同向放量上涨或缩量下跌，值负=量价背离,state_detection
CORD5,"Corr(Div($close, Ref($close, 1)), Log(Add(Div($volume, Ref($volume, 1)), 1.0)), 5)",量价协同类-5日量价变化率相关性(Alpha158)：价格涨跌比与成交量变化率对数相关性，衡量价格变动与量能变动的同步性,state_detection
CORD10,"Corr(Div($close, Ref($close, 1)), Log(Add(Div($volume, Ref($volume, 1)), 1.0)), 10)",量价协同类-10日量价变化率相关性(Alpha158)：价格涨跌比与成交量变化率对数相关性，衡量价格变动与量能变动的同步性,state_detection
CORD20,"Corr(Div($close, Ref($close, 1)), Log(Add(Div($volume, Ref($volume, 1)), 1.0)), 20)",量价协同类-20日量价变化率相关性(Alpha158)：价格涨跌比与成交量变化率对数相关性，衡量价格变动与量能变动的同步性,state_detection
CORD30,"Corr(Div($close, Ref($close, 1)), Log(Add(Div($volume, Ref($volume, 1)), 1.0)), 30)",量价协同类-30日量价变化率相关性(Alpha158)：价格涨跌比与成交量变化率对数相关性，衡量价格变动与量能变动的同步性,state_detection
CORD60,"Corr(Div($close, Ref($close, 1)), Log(Add(Div($volume, Ref($volume, 1)), 1.0)), 60)",量价协同类-60日量价变化率相关性(Alpha158)：价格涨跌比与成交量变化率对数相关性，衡量价格变动与量能变动的同步性,state_detection
CNTP5,"Mean(Gt($close, Ref($close, 1)), 5)",趋势类-5日上涨天数占比(Alpha158)：Gt判断$close>Ref($close,1)返回0/1，Mean取5日均值，值高=近期上涨天数多趋势强
CNTP10,"Mean(Gt($close, Ref($close, 1)), 10)",趋势类-10日上涨天数占比(Alpha158)：Gt判断$close>Ref($close,1)返回0/1，Mean取5日均值，值高=近期上涨天数多趋势强
CNTP20,"Mean(Gt($close, Ref($close, 1)), 20)",趋势类-20日上涨天数占比(Alpha158)：Gt判断$close>Ref($close,1)返回0/1，Mean取5日均值，值高=近期上涨天数多趋势强
CNTP30,"Mean(Gt($close, Ref($close, 1)), 30)",趋势类-30日上涨天数占比(Alpha158)：Gt判断$close>Ref($close,1)返回0/1，Mean取5日均值，值高=近期上涨天数多趋势强
CNTP60,"Mean(Gt($close, Ref($close, 1)), 60)",趋势类-60日上涨天数占比(Alpha158)：Gt判断$close>Ref($close,1)返回0/1，Mean取5日均值，值高=近期上涨天数多趋势强
CNTN5,"Mean(Lt($close, Ref($close, 1)), 5)",趋势类-5日下跌天数占比(Alpha158)：Lt判断$close<Ref($close,1)返回0/1，Mean取5日均值，值高=近期下跌天数多趋势弱
CNTN10,"Mean(Lt($close, Ref($close, 1)), 10)",趋势类-10日下跌天数占比(Alpha158)：Lt判断$close<Ref($close,1)返回0/1，Mean取5日均值，值高=近期下跌天数多趋势弱
CNTN20,"Mean(Lt($close, Ref($close, 1)), 20)",趋势类-20日下跌天数占比(Alpha158)：Lt判断$close<Ref($close,1)返回0/1，Mean取5日均值，值高=近期下跌天数多趋势弱
CNTN30,"Mean(Lt($close, Ref($close, 1)), 30)",趋势类-30日下跌天数占比(Alpha158)：Lt判断$close<Ref($close,1)返回0/1，Mean取5日均值，值高=近期下跌天数多趋势弱
CNTN60,"Mean(Lt($close, Ref($close, 1)), 60)",趋势类-60日下跌天数占比(Alpha158)：Lt判断$close<Ref($close,1)返回0/1，Mean取5日均值，值高=近期下跌天数多趋势弱
SUMP5,"Div(Sum(Greater(Sub($close, Ref($close, 1)), 0.0), 5), Add(Sum(Abs(Sub($close, Ref($close, 1))), 5), 1e-12))",收益率类-5日正收益占比(Alpha158)：Greater取正收益部分/Abs取绝对值求和，类似RSI分子，值高=上涨动能集中,response_intensity
SUMP10,"Div(Sum(Greater(Sub($close, Ref($close, 1)), 0.0), 10), Add(Sum(Abs(Sub($close, Ref($close, 1))), 10), 1e-12))",收益率类-10日正收益占比(Alpha158)：Greater取正收益部分/Abs取绝对值求和，类似RSI分子，值高=上涨动能集中,response_intensity
SUMP20,"Div(Sum(Greater(Sub($close, Ref($close, 1)), 0.0), 20), Add(Sum(Abs(Sub($close, Ref($close, 1))), 20), 1e-12))",收益率类-20日正收益占比(Alpha158)：Greater取正收益部分/Abs取绝对值求和，类似RSI分子，值高=上涨动能集中,response_intensity
SUMP30,"Div(Sum(Greater(Sub($close, Ref($close, 1)), 0.0), 30), Add(Sum(Abs(Sub($close, Ref($close, 1))), 30), 1e-12))",收益率类-30日正收益占比(Alpha158)：Greater取正收益部分/Abs取绝对值求和，类似RSI分子，值高=上涨动能集中,response_intensity
SUMP60,"Div(Sum(Greater(Sub($close, Ref($close, 1)), 0.0), 60), Add(Sum(Abs(Sub($close, Ref($close, 1))), 60), 1e-12))",收益率类-60日正收益占比(Alpha158)：Greater取正收益部分/Abs取绝对值求和，类似RSI分子，值高=上涨动能集中,response_intensity
SUMN5,"Div(Sum(Greater(Sub(Ref($close, 1), $close), 0.0), 5), Add(Sum(Abs(Sub($close, Ref($close, 1))), 5), 1e-12))",收益率类-5日负收益占比(Alpha158)：Greater取负收益绝对值部分/总绝对值求和，类似RSI分母，值高=下跌动能集中,response_intensity
SUMN10,"Div(Sum(Greater(Sub(Ref($close, 1), $close), 0.0), 10), Add(Sum(Abs(Sub($close, Ref($close, 1))), 10), 1e-12))",收益率类-10日负收益占比(Alpha158)：Greater取负收益绝对值部分/总绝对值求和，类似RSI分母，值高=下跌动能集中,response_intensity
SUMN20,"Div(Sum(Greater(Sub(Ref($close, 1), $close), 0.0), 20), Add(Sum(Abs(Sub($close, Ref($close, 1))), 20), 1e-12))",收益率类-20日负收益占比(Alpha158)：Greater取负收益绝对值部分/总绝对值求和，类似RSI分母，值高=下跌动能集中,response_intensity
SUMN30,"Div(Sum(Greater(Sub(Ref($close, 1), $close), 0.0), 30), Add(Sum(Abs(Sub($close, Ref($close, 1))), 30), 1e-12))",收益率类-30日负收益占比(Alpha158)：Greater取负收益绝对值部分/总绝对值求和，类似RSI分母，值高=下跌动能集中,response_intensity
SUMN60,"Div(Sum(Greater(Sub(Ref($close, 1), $close), 0.0), 60), Add(Sum(Abs(Sub($close, Ref($close, 1))), 60), 1e-12))",收益率类-60日负收益占比(Alpha158)：Greater取负收益绝对值部分/总绝对值求和，类似RSI分母，值高=下跌动能集中,response_intensity
VMA5,"Div(Mean($volume, 5), Add($volume, 1e-12))",量能变化类-5日均量比(Alpha158)：5日均量相对当日成交量的比值，>1=当日缩量低于5日均量，<1=当日放量高于5日均量，衡量量能异动,state_detection
VMA10,"Div(Mean($volume, 10), Add($volume, 1e-12))",量能变化类-10日均量比(Alpha158)：10日均量相对当日成交量的比值，>1=当日缩量低于10日均量，<1=当日放量高于10日均量，衡量量能异动,state_detection
VMA20,"Div(Mean($volume, 20), Add($volume, 1e-12))",量能变化类-20日均量比(Alpha158)：20日均量相对当日成交量的比值，>1=当日缩量低于20日均量，<1=当日放量高于20日均量，衡量量能异动,state_detection
VMA30,"Div(Mean($volume, 30), Add($volume, 1e-12))",量能变化类-30日均量比(Alpha158)：30日均量相对当日成交量的比值，>1=当日缩量低于30日均量，<1=当日放量高于30日均量，衡量量能异动,state_detection
VMA60,"Div(Mean($volume, 60), Add($volume, 1e-12))",量能变化类-60日均量比(Alpha158)：60日均量相对当日成交量的比值，>1=当日缩量低于60日均量，<1=当日放量高于60日均量，衡量量能异动,state_detection
VSTD5,"Div(Std($volume, 5), Add($volume, 1e-12))",量能变化类-5日量波动(Alpha158)：5日成交量标准差相对当日量的比值，衡量成交量在短期内的波动程度，值高=近期量能忽大忽小不稳定,response_intensity
VSTD10,"Div(Std($volume, 10), Add($volume, 1e-12))",量能变化类-10日量波动(Alpha158)：10日成交量标准差相对当日量的比值，衡量成交量在短期内的波动程度，值高=近期量能忽大忽小不稳定,response_intensity
VSTD20,"Div(Std($volume, 20), Add($volume, 1e-12))",量能变化类-20日量波动(Alpha158)：20日成交量标准差相对当日量的比值，衡量成交量在短期内的波动程度，值高=近期量能忽大忽小不稳定,response_intensity
VSTD30,"Div(Std($volume, 30), Add($volume, 1e-12))",量能变化类-30日量波动(Alpha158)：30日成交量标准差相对当日量的比值，衡量成交量在短期内的波动程度，值高=近期量能忽大忽小不稳定,response_intensity
VSTD60,"Div(Std($volume, 60), Add($volume, 1e-12))",量能变化类-60日量波动(Alpha158)：60日成交量标准差相对当日量的比值，衡量成交量在短期内的波动程度，值高=近期量能忽大忽小不稳定,response_intensity
VSUMP5,"Div(Sum(Greater(Sub($volume, Ref($volume, 1)), 0.0), 5), Add(Sum(Abs(Sub($volume, Ref($volume, 1))), 5), 1e-12))",量能变化类-5日放量占比(Alpha158)：成交量增加的幅度/总变化幅度，类似成交量RSI，值高=近期放量天数多且幅度大,response_intensity
VSUMP10,"Div(Sum(Greater(Sub($volume, Ref($volume, 1)), 0.0), 10), Add(Sum(Abs(Sub($volume, Ref($volume, 1))), 10), 1e-12))",量能变化类-10日放量占比(Alpha158)：成交量增加的幅度/总变化幅度，类似成交量RSI，值高=近期放量天数多且幅度大,response_intensity
VSUMP20,"Div(Sum(Greater(Sub($volume, Ref($volume, 1)), 0.0), 20), Add(Sum(Abs(Sub($volume, Ref($volume, 1))), 20), 1e-12))",量能变化类-20日放量占比(Alpha158)：成交量增加的幅度/总变化幅度，类似成交量RSI，值高=近期放量天数多且幅度大,response_intensity
VSUMP30,"Div(Sum(Greater(Sub($volume, Ref($volume, 1)), 0.0), 30), Add(Sum(Abs(Sub($volume, Ref($volume, 1))), 30), 1e-12))",量能变化类-30日放量占比(Alpha158)：成交量增加的幅度/总变化幅度，类似成交量RSI，值高=近期放量天数多且幅度大,response_intensity
VSUMP60,"Div(Sum(Greater(Sub($volume, Ref($volume, 1)), 0.0), 60), Add(Sum(Abs(Sub($volume, Ref($volume, 1))), 60), 1e-12))",量能变化类-60日放量占比(Alpha158)：成交量增加的幅度/总变化幅度，类似成交量RSI，值高=近期放量天数多且幅度大,response_intensity
VSUMN5,"Div(Sum(Greater(Sub(Ref($volume, 1), $volume), 0.0), 5), Add(Sum(Abs(Sub($volume, Ref($volume, 1))), 5), 1e-12))",量能变化类-5日缩量占比(Alpha158)：成交量减少的幅度/总变化幅度，VSUMN=1-VSUMP，值高=近期缩量天数多且幅度大,state_detection
VSUMN10,"Div(Sum(Greater(Sub(Ref($volume, 1), $volume), 0.0), 10), Add(Sum(Abs(Sub($volume, Ref($volume, 1))), 10), 1e-12))",量能变化类-10日缩量占比(Alpha158)：成交量减少的幅度/总变化幅度，VSUMN=1-VSUMP，值高=近期缩量天数多且幅度大,state_detection
VSUMN20,"Div(Sum(Greater(Sub(Ref($volume, 1), $volume), 0.0), 20), Add(Sum(Abs(Sub($volume, Ref($volume, 1))), 20), 1e-12))",量能变化类-20日缩量占比(Alpha158)：成交量减少的幅度/总变化幅度，VSUMN=1-VSUMP，值高=近期缩量天数多且幅度大,state_detection
